article,author,article,expert,id,author,id,name
33,7,33,52,7,"Myers, Steven Lee",52,"Pszczel, Robert"
33,7,33,51,7,"Myers, Steven Lee",51,"Mikko, Madis"
32,15,32,29,15,"O'Hanlon, Michael",29,"Berkowitz, Bruce"
32,15,32,30,15,"O'Hanlon, Michael",30,"Toffler, Alvin"
31,14,31,25,14,"Schwartz, John",25,"DeLong, B. K"
31,14,31,27,14,"Schwartz, John",27,"Etzioni, Amitai"
31,14,31,28,14,"Schwartz, John",28,"Farber, David"
31,14,31,26,14,"Schwartz, John",26,"O'Hanlon, Michael"
31,14,31,5,14,"Schwartz, John",5,"Spafford, Eugene"
30,11,30,23,11,"Markoff, John",23,"Levy, Elias"
28,11,28,22,11,"Markoff, John",22,"Rasch, Mark"
28,11,28,21,11,"Markoff, John",21,"Lukasik, Steven"
28,11,28,20,11,"Markoff, John",20,"Knecht, Ronald"
28,11,28,3,11,"Markoff, John",3,"Shelton, Henry"
27,12,27,17,12,"Becker, Elizabeth",17,"Hamre, John J."
27,12,27,16,12,"Becker, Elizabeth",16,"Arkin, William"
26,6,26,18,6,"Weiner, Tim",18,"Lake, Anthony"
26,6,26,6,6,"Weiner, Tim",6,"Clarke, Richard A."
25,1,25,14,1,"Lohr, Steve",14,"Schwartau, Winn"
25,1,25,15,1,"Lohr, Steve",15,"Neumann, Peter"
25,1,25,11,1,"Lohr, Steve",11,"Libicki, Martin"
25,1,25,13,1,"Lohr, Steve",13,"Horton, Barry"
25,1,25,10,1,"Lohr, Steve",10,"Frank, Howard"
25,1,25,12,1,"Lohr, Steve",12,"Deutch, John M."
48,23,48,61,23,"Schwirtz, Michael",61,"Holbrooke, Richard C."
42,6,42,6,6,"Weiner, Tim",6,"Clarke, Richard A."
42,6,42,65,6,"Weiner, Tim",65,"Card, Andrew H. Jr."
42,6,42,7,6,"Weiner, Tim",7,"Ridge, Tom"
50,26,50,50,26,"Sanger, David E.",50,"Blair, Dennis"
50,26,50,49,26,"Sanger, David E.",49,"Hathaway, Melissa"
50,26,50,48,26,"Sanger, David E.",48,"McConnell, Mike"
48,25,48,61,25,"Chivers, C.J. ",61,"Holbrooke, Richard C."
34,6,34,12,6,"Weiner, Tim",12,"Deutch, John M."
35,11,35,55,11,"Markoff, John",55,"Woodcock, Bill"
35,11,35,56,11,"Markoff, John",56,"Viik, Linnar"
